categories,name,kkal,belki,fat,ugl
Грибы,Лисички свежие,20,1.6,1.1,2.2
Грибы,Шампиньоны Hortex резаные,20,2.6,0.4,0.5
Грибы,Шампиньоны Бондюэль резаные,16,2.3,0.5,0.5
Грибы,Грузди маринованные Steinhauer,26,1.0,1.8,0.0
Грибы,Опята свежие,17,2.2,1.2,0.5
Грибы,Грибной жульен Hortex,30,2.6,0.5,2.6
Грибы,Маслята маринованные Золотая Долина,18,3.0,0.5,1.4
Грибы,Белые маринованные,24,3.0,0.5,2.0
Грибы,Шампиньоны Бондюэль резаные замороженные,22,2.4,0.0,3.7
Грибы,Белые сушёные,282,23.4,6.4,31.0
Грибы,Лесные грибы Hortex с картошкой,51,2.6,1.5,5.5
Грибы,Подосиновики свежие,22,3.3,0.5,3.7
Грибы,Вешенки маринованные Steinhauer,23,1.0,1.5,0.0
Грибы,Маслята свежие,19,2.4,0.7,1.7
Грибы,Шампиньоны Бондюэль целые,16,2.3,0.5,0.5
Грибы,Подберёзовики свежие,31,2.3,0.9,3.7
Грибы,Грибное ризотто Бондюэль в томатном соусе,82,2.4,0.8,16.3
Грибы,Шиитаке свежие,34,2.2,0.5,6.8
Грибы,Шампиньоны свежие,27,4.3,1.0,1.0
Грибы,Опята целые Sunfeel,40,3.0,0.0,4.0
Грибы,Грибное ассорти быстрозамороженное,20,2.2,0.8,0.7
Грибы,Вешенки свежие,38,2.5,0.3,6.5
Грибы,Белые жареные,162,4.6,11.5,10.7
Грибы,Шампиньоны консервированные,12,1.6,0.2,0.9
Грибы,Лесные грибы Hortex,35,2.2,0.7,3.9
Грибы,Польский гриб,19,1.7,0.7,1.5
Грибы,Грибное ассорти 4 сезона,27,2.9,0.9,13.0
Грибы,Белые грибы Hortex,34,3.7,1.7,1.1
Грибы,Грузди свежие,16,1.8,0.5,0.8
Грибы,Опятки Hortex,23,2.2,1.2,0.8
Грибы,Рыжики свежие,17,1.9,0.8,2.7
Грибы,Подосиновики сушёные,315,35.4,5.4,33.2
Грибы,Шиитаке сушеные,331,19.3,0.0,63.4
Грибы,Опята маринованные,18,1.8,1.0,0.4
Грибы,Портобелло жареные на гриле,35,4.3,0.8,2.7
Грибы,Подберёзовики сушёные,231,23.5,9.2,14.3
Грибы,Лисички сушёные,261,22.3,7.6,24.2
Грибы,Трюфели свежие,51,5.9,0.5,5.3
Грибы,Шампиньоны 4 сезона нарезанные,27,4.5,1.0,0.1
Грибы,Портобелло свежие,26,2.5,0.2,3.6
Грибы,Сыроежки свежие,15,1.7,0.7,1.5
Грибы,Чернушки,9,1.5,0.3,0.1
Грибы,Валуи,29,3.7,1.7,1.1
